
angry,1
disgust,1
scared,39
happy,1
sad,13
surprised,2
neutral,42
angry,2
disgust,1
scared,36
happy,1
sad,11
surprised,4
neutral,47
angry,1
disgust,1
scared,25
happy,0
sad,11
surprised,2
neutral,59
angry,2
disgust,3
scared,27
happy,1
sad,18
surprised,2
neutral,47
angry,2
disgust,3
scared,27
happy,1
sad,18
surprised,2
neutral,47
angry,1
disgust,1
scared,24
happy,1
sad,13
surprised,2
neutral,58
angry,1
disgust,1
scared,24
happy,1
sad,13
surprised,2
neutral,58
angry,2
disgust,2
scared,21
happy,1
sad,18
surprised,3
neutral,53
angry,2
disgust,2
scared,21
happy,1
sad,18
surprised,3
neutral,53
angry,2
disgust,5
scared,24
happy,1
sad,18
surprised,2
neutral,48
angry,2
disgust,5
scared,24
happy,1
sad,18
surprised,2
neutral,48
angry,2
disgust,4
scared,27
happy,1
sad,20
surprised,2
neutral,44
angry,2
disgust,4
scared,27
happy,1
sad,20
surprised,2
neutral,44
angry,2
disgust,4
scared,26
happy,1
sad,27
surprised,1
neutral,38
angry,2
disgust,4
scared,26
happy,1
sad,27
surprised,1
neutral,38
angry,2
disgust,4
scared,19
happy,1
sad,23
surprised,1
neutral,50
angry,2
disgust,4
scared,19
happy,1
sad,23
surprised,1
neutral,50
angry,2
disgust,3
scared,17
happy,2
sad,16
surprised,1
neutral,60
angry,2
disgust,3
scared,17
happy,2
sad,16
surprised,1
neutral,60
angry,1
disgust,3
scared,12
happy,3
sad,20
surprised,1
neutral,60
angry,1
disgust,3
scared,12
happy,3
sad,20
surprised,1
neutral,60
angry,7
disgust,6
scared,5
happy,5
sad,39
surprised,0
neutral,38
angry,7
disgust,6
scared,5
happy,5
sad,39
surprised,0
neutral,38
angry,12
disgust,5
scared,7
happy,2
sad,37
surprised,0
neutral,37
angry,12
disgust,5
scared,7
happy,2
sad,37
surprised,0
neutral,37
angry,8
disgust,4
scared,17
happy,1
sad,30
surprised,1
neutral,38
angry,8
disgust,4
scared,17
happy,1
sad,30
surprised,1
neutral,38
angry,6
disgust,4
scared,26
happy,0
sad,19
surprised,2
neutral,42
angry,6
disgust,4
scared,26
happy,0
sad,19
surprised,2
neutral,42
angry,6
disgust,3
scared,22
happy,1
sad,23
surprised,1
neutral,43
angry,6
disgust,3
scared,22
happy,1
sad,23
surprised,1
neutral,43
angry,5
disgust,4
scared,17
happy,1
sad,19
surprised,1
neutral,53
angry,5
disgust,4
scared,17
happy,1
sad,19
surprised,1
neutral,53
angry,5
disgust,4
scared,17
happy,1
sad,25
surprised,1
neutral,46
angry,5
disgust,4
scared,17
happy,1
sad,25
surprised,1
neutral,46
angry,7
disgust,4
scared,15
happy,1
sad,17
surprised,2
neutral,54
angry,7
disgust,4
scared,15
happy,1
sad,17
surprised,2
neutral,54
angry,6
disgust,2
scared,11
happy,1
sad,13
surprised,1
neutral,66
angry,6
disgust,2
scared,11
happy,1
sad,13
surprised,1
neutral,66
angry,12
disgust,2
scared,12
happy,1
sad,13
surprised,1
neutral,59
angry,12
disgust,2
scared,12
happy,1
sad,13
surprised,1
neutral,59
angry,12
disgust,6
scared,13
happy,0
